Sim	QM	forNTS	indicator	confidence
314	26	6242.529936625791	-1	3
315	27	6239.243494558799	-1	3
316	28	6239.756540579818	-1	3
317	29	6255.349213039209	-1	3
318	30	6259.337311439395	-1	3
319	31	6258.104140334135	-1	3
320	32	6242.433756795287	-1	3
321	33	6222.176182017365	-1	3
322	34	6211.821839934655	-1	3
323	35	6221.421886077406	-1	3
324	36	6227.840390058213	-1	3
325	37	6225.353498293564	-1	3
326	38	6211.11527426426	-1	3
327	39	6206.45765079339	-1	3
328	40	6208.047806394081	-1	3
329	41	6204.497866339993	-1	3
330	42	6202.280796327494	-1	3
331	43	6206.5540279728875	-1	3
332	44	6207.903252763469	-1	3
333	45	6209.557517425264	-1	3
334	46	6208.336910074262	-1	3
335	47	6205.204699155058	-1	3
336	48	6220.426807775989	-1	3
337	1	6235.3630994526575	-1	3
338	2	6238.281492940544	-1	3
339	3	6240.429890779942	-1	3
340	4	6224.358642935767	-1	3
341	5	6242.385666682955	-1	3
342	6	6253.298755301507	-1	3
343	7	6236.084725332379	-1	3
344	8	6223.60444081119	-1	3
345	9	6226.492698889101	-1	3
346	10	6229.829649920483	-1	3
347	11	6225.193041565823	-1	3
348	12	6221.13299819212	-1	3
349	13	6217.938864991111	-1	3
350	14	6196.6404598140525	-1	3
351	15	6182.7809585482555	-1	3
352	16	6179.965909508266	-1	3
353	17	6167.332802631163	-1	3
354	18	6178.469726959341	-1	3
355	19	6175.058593828815	-1	3
356	20	6163.742361029585	-1	3
357	21	6155.270486938527	-1	3
358	22	6159.1687065495735	-1	3
359	23	6166.012636759896	-1	3
360	24	6166.044837120077	-1	3
361	25	6149.469861892918	-1	3
362	26	6140.2009471544	-1	3
363	27	6138.169183110928	-1	3
364	28	6132.749979117912	-1	3
365	29	6119.614264190104	-1	3
366	30	6115.028934570347	-1	3
367	31	6109.521698315677	-1	3
368	32	6115.271147968267	-1	3
369	33	6122.422983968486	-1	3
370	34	6119.678837594488	-1	3
371	35	6107.308617902647	-1	3
372	36	6101.685791241979	-1	3
373	37	6108.988646548422	-1	3
374	38	6106.775497635925	-1	3
375	39	6107.64786766119	-1	3
376	40	6104.3035425063545	-1	3
377	41	6104.885210941532	-1	3
378	42	6098.857525923284	-1	3
379	43	6107.938647849587	-1	3
380	44	6109.020953185701	-1	3
