Sim	Year	Month	QM	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4
1080	2044	6	24	720.6775113296001	653.5595358466283	548.886945363919	523.0983179240857	7162.0	7313.0037593504	7256.2969008104	7265.491466648908	1182.032870896	1040.4431564079073	906.0815046028588	814.8489738368667	7882.6775113296	7966.563295197028	7805.183846174319	7788.589784572993
1081	2044	7	25	843.0779889696	698.4512507745721	630.0556137803732	558.8359400982941	7199.0	7256.2969008104	7200.646128330401	7189.571960821356	1071.6698178959998	928.034805793307	831.0429733994627	762.595355888752	8042.0779889696005	7954.748151584972	7830.701742110774	7748.40790091965
1082	2044	7	26	437.8588372096	424.40111054927604	411.76709579167937	331.3166631968784	7098.0	7200.646128330401	7099.5326836404	7120.831030444732	996.9092698960001	879.4638350197072	798.3133285570234	736.6074324841206	7535.8588372096	7625.047238879677	7511.29977943208	7452.147693641611
1083	2044	7	27	230.83130640959996	259.005542351596	222.07293273662071	190.2191098617502	7008.0	7099.5326836404	7011.253912650401	7001.183793505059	825.714206896	760.5256907231071	708.7331285129153	657.1959281742983	7238.8313064096	7358.538225991996	7233.326845387021	7191.402903366809
1084	2044	7	28	75.41540432960005	77.18713918442813	86.60753861293892	-18.105001019206156	6882.0	7011.253912650401	6877.451203050399	6935.252910055948	646.171416296	628.3385647241873	597.892340092693	587.0761238614143	6957.4154043296	7088.441051834829	6964.058741663338	6917.147909036741
1085	2044	8	29	191.8431882896	177.09187965184424	46.6026871440024	86.12652831097307	6861.0	6877.451203050399	6849.7884845404	6851.714322185468	703.7231410960001	650.8900103955472	626.1702100882478	595.315466187818	7052.8431882896	7054.543082702244	6896.391171684402	6937.840850496441
1086	2044	8	30	122.11270248960011	3.2141816511639263	55.098287942939805	56.035461296712924	6873.0	6849.7884845404	6849.1824778904	6844.651770576979	649.3939792959999	625.1184543207871	594.539631506261	570.3785777721816	6995.1127024896	6853.002666191564	6904.28076583334	6900.687231873692
1087	2044	8	31	-59.96110695040011	5.241569490940037	20.381634862305305	11.413959553591212	6787.0	6849.1824778904	6808.9376805704	6801.38114900446	669.9228014960001	626.0384623548273	593.6139011779346	586.3436797600513	6727.0388930496	6854.424047381341	6829.319315432705	6812.795108558052
1088	2044	8	32	-16.133889150400137	3.5125354588199116	-0.6495689117991787	-60.12270590030039	6797.0	6808.9376805704	6771.6997555804	6774.866690568843	657.3606860960001	615.6343855645473	602.5872374569736	626.7555817170112	6780.8661108496	6812.4502160292195	6771.050186668601	6714.743984668543
1089	2044	9	33	0.2538792495997768	-3.221237498540404	-61.96177249524203	-4.017822477204163	6740.0	6771.6997555804	6735.6549378604	6704.304735894531	625.739637896	609.6915399173073	631.99611797792	664.604160070787	6740.2538792496	6768.47851808186	6673.693165365158	6700.286913417327
