Sim	Year	Month	QM	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4
2806	2080	6	22	985.9400481296	814.6476600119081	698.9800961570008	541.1684267310227	7584.0	7512.0027395004	7453.1949980304	7493.078832578227	1406.041494496	1264.9492864174272	1129.663231052884	1009.3054672071656	8569.9400481296	8326.650399512308	8152.175094187401	8034.24725930925
2807	2080	6	23	784.3017131695999	675.0316605998921	524.04228222653	355.05376798612633	7515.0	7453.1949980304	7494.783674350399	7441.595247690092	1126.001260896	1031.9785056059072	937.2476756505622	839.1330207052897	8299.3017131696	8128.226658630292	8018.8259565769295	7796.649015676218
2808	2080	6	24	880.3902675296	686.1073312991482	470.95066834634497	304.7567576543323	7303.0	7494.783674350399	7356.1643328104	7382.504137300908	912.165810896	853.0156749159073	776.9987215755043	711.3848608292703	8183.3902675296	8180.891005649548	7827.115001156745	7687.2608949552405
2809	2080	7	25	824.5053103296	580.1716822520282	382.863524278622	369.4585273901	7434.0	7356.1643328104	7347.930383330401	7304.419293142956	794.7023178960001	736.0026422933072	681.1438285487629	633.8330672252744	8258.5053103296	7936.3360150624285	7730.793907609023	7673.877820533056
2810	2080	7	26	617.8998619696	412.6378755403722	390.7509346131219	358.7530841808406	7454.0	7347.930383330401	7360.0682206404	7308.3655556887325	942.024489896	825.983509023707	740.675026979296	674.2589019625641	8071.8998619696	7760.568258870773	7750.819155253522	7667.118639869573
2811	2080	7	27	344.34300104960005	336.85393778774016	320.20995038036665	227.55869424201535	7319.0	7360.0682206404	7291.9099536504	7277.460893950659	987.447446896	854.1891296911072	757.993339608933	685.4998901166495	7663.3430010496	7696.92215842814	7612.1199040307665	7505.019588192674
2812	2080	7	28	618.1289494896	542.1867608773641	386.3000418407943	259.19359988491635	7262.0	7291.9099536504	7221.6796900504	7220.192105176748	934.543256296	814.4847562121872	727.1711616865745	690.8279387786431	7880.1289494896	7834.096714527765	7607.979731891194	7479.385705061664
2813	2080	8	29	701.1165614495999	511.72437303358015	348.88777699576224	229.06794606237804	7256.0	7221.6796900504	7199.7665235404	7183.274679591068	966.816301096	834.2649119075471	769.8263604369661	720.7002704749543	7957.1165614496	7733.40406308398	7548.654300536163	7412.342625653446
2814	2080	8	30	343.66065296959994	216.25513282897202	134.21891825859154	100.30574122309872	7111.0	7199.7665235404	7120.320071890401	7146.033736160179	1080.993199296	943.2839171247874	848.652398164694	777.4236514593395	7454.6606529696	7416.021656369372	7254.5389901489925	7246.339477383277
2815	2080	8	31	235.40018692959995	149.32782544638826	111.11051079504534	30.390349166730402	6959.0	7120.320071890401	7009.0857375704	7037.88634247166	879.0430214960002	803.4890773588274	744.1086255764076	725.1849095516319	7194.4001869296	7269.647897336789	7120.196248365445	7068.276691638391
2816	2080	8	32	270.63549672960005	206.84418367746844	98.85197004465567	77.71313981794992	6954.0	7009.0857375704	6943.2834855804	6987.710789390443	668.880726096	649.474824292547	655.377652624623	683.5500294447693	7224.6354967296	7215.929921247868	7042.135455625056	7065.423929208393
2817	2080	9	33	81.24817692960016	-0.26597441961166624	6.831338965641635	104.4886744642015	6859.0	6943.2834855804	6902.3420218604	6875.368620518532	717.297977896	703.0594107053072	718.7227974400614	730.6177153076189	6940.2481769296	6943.017511160789	6909.173360826041	6979.857294982734
2818	2080	9	34	-275.17715919040006	-210.12326214216387	-50.6611615501979	21.76719088881964	6694.0	6902.3420218604	6733.5761739204	6843.355057024595	767.047506296	763.7083920621874	763.8016402815447	794.5569749989063	6418.8228408096	6692.218759718236	6682.915012370202	6865.122247913415
2819	2080	9	35	-285.9751823903998	-110.52203303288366	-21.040863638693054	0.6455627574991922	6551.0	6733.5761739204	6643.5117149904	6733.2656667363235	742.8303470960002	749.1237340447474	783.7297192200833	802.0796896177023	6265.0248176096	6623.054140887516	6622.470851351707	6733.911229493822
2820	2080	9	36	-189.31741147039997	-83.22465551425148	-43.823672109994504	55.25337133534299	6478.0	6643.5117149904	6587.8939390104	6528.792292216939	705.861026696	753.3147084734674	779.643853364458	815.015326208442	6288.6825885296	6560.287059476148	6544.070266900405	6584.045663552282
2821	2080	10	37	223.99218796960008	198.6259313399721	228.63534168741194	375.86827437815884	6489.0	6587.8939390104	6440.9060287304	6567.561341829515	727.3893650960001	761.4175414723472	801.5705652475256	915.9266283403698	6712.9921879696	6786.519870350372	6669.541370417812	6943.429616207674
2822	2080	10	38	174.42503892959996	209.536464485588	362.2101742466491	407.6256658333742	6439.0	6440.9060287304	6482.8704693204	6409.790989752251	803.621294696	831.2410987510673	937.8132959722701	995.9131221264967	6613.4250389296	6650.442493215988	6845.080643567049	6817.416655585625
2823	2080	10	39	-50.271458990400106	157.17477545275574	260.99955909221126	353.33730969347414	6450.0	6482.8704693204	6414.9636406104	6471.0086682998435	859.352290696	957.5763264782671	1010.491453858625	1056.0897965880695	6399.7285410096	6640.045244773156	6675.963199702612	6824.345977993317
2824	2080	10	40	220.9000098895997	311.2902841832042	389.3015054794656	505.7523061688837	6443.0	6414.9636406104	6448.3303453504	6382.020015089595	952.929467696	1007.2245695496671	1053.6799575114146	1103.6942268761225	6663.9000098895995	6726.253924793604	6837.631850829866	6887.772321258479
2825	2080	11	41	559.5535394895999	585.226074971364	645.8630236768066	815.2348923642221	6438.0	6448.3303453504	6395.1230963104	6535.112904365708	1045.4866056960002	1080.5793429612675	1123.5367385981658	1115.9912432335766	6997.5535394896	7033.556420321765	7040.986119987207	7350.34779672993
2826	2080	11	42	266.98136512959957	394.710440940108	635.6291968536243	750.7321994801305	6416.0	6395.1230963104	6516.7234039304	6415.1578075517555	1192.154671896	1201.9776184361072	1173.8536832723419	1106.8093082236883	6682.9813651296	6789.833537250508	7152.352600784025	7165.890007031886
2827	2080	11	43	265.1534850496	533.38534777414	677.614983541112	715.5093768983947	6250.0	6516.7234039304	6332.6117903704	6396.047348226011	1008.2347322960001	1037.6464894753872	1006.3351600472848	1045.6436567597889	6515.1534850496	7050.10875170454	7010.226773911512	7111.5567251244065
2828	2080	11	44	632.5039037695999	755.8374348986522	771.4482712053015	926.7343577434942	6279.0	6332.6117903704	6260.8302760704	6261.971954583083	946.2816948960001	942.1029060047073	998.2623046412004	973.418747829654	6911.5039037696	7088.4492252690525	7032.278547275701	7188.706312326577
2829	2080	12	45	768.4124821696	781.372255807292	933.8312553236622	1096.0319066103602	6304.0	6260.8302760704	6245.6975682204	6345.7832481292435	1057.3289384959999	1079.269741098227	1033.1744255371543	985.3894166972623	7072.4124821696005	7042.202531877692	7179.528823544062	7441.815154739604
2830	2080	12	46	794.4652917695998	944.1640266034522	1103.4211380967995	1112.6753522829658	6338.0	6245.6975682204	6389.6773871004	6326.452001888164	1231.787356696	1140.3989891794672	1064.4843337514071	969.2419749377507	7132.4652917696	7189.861594823852	7493.0985251972	7439.12735417113
2831	2080	12	47	1038.8631991296	1178.1558973165081	1166.120107906064	1212.2168382104348	6468.0	6389.6773871004	6452.8976250844	6309.152814447108	1288.177606096	1168.3772359085474	1045.8792695976344	1141.0030916366031	7506.8631991296	7567.833284416908	7619.017732990464	7521.369652657542
2832	2080	12	48	967.0238230095999	999.498749809956	1093.0616036447384	1227.1511759624939	6206.0	6452.8976250844	6204.6771166644	6254.996453488407	1161.277438296	1040.887894024587	1137.3211700365	1149.9664887029903	7173.0238230096	7452.396374894356	7297.738720309138	7482.1476294509
2833	2081	1	1	1186.4798434095999	1240.623473891796	1332.6764787396996	1435.437685460273	6279.0	6204.6771166644	6156.0834843404	6190.031175573111	1060.615622096	1151.1903681997474	1160.1971955584543	1112.738000262349	7465.4798434096	7445.300590556197	7488.7599630801	7625.468861033384
2834	2081	1	2	1067.1667402096	1195.7877723130762	1337.545037662679	1398.0543937048803	6263.0	6156.0834843404	6223.2052316144	6169.892144593219	1340.791685096	1293.4927390963473	1211.0643501366824	1212.757612024254	7330.1667402096	7351.871256653476	7560.7502692770795	7567.9465382981
