Sim	Year	Month	QM	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4
604	2034	7	28	409.2298603295998	546.5647762820281	518.9615581002597	533.8065473970285	5287.0	5248.9977946504005	5236.1375130504	5241.806419137548	536.128796296	521.0953820401874	493.3417605944443	493.2121329095205	5696.229860329599	5795.562570932429	5755.09907115066	5775.612966534576
605	2034	8	29	429.22948456960023	426.36281050633227	467.58679252214665	529.9994219774796	5343.0	5236.1375130504	5295.2748735404	5247.718872313468	505.35596109600004	482.27646471954733	485.04974334434473	484.4576624030997	5772.229484569601	5662.500323556733	5762.861666062547	5777.718294290948
606	2034	8	30	387.33669712959977	436.78813706730807	507.97450838319367	524.637408718215	5387.0	5295.2748735404	5333.5294548904	5281.364276640179	488.0448192959999	489.1050736087873	487.4491039161028	480.9944311613069	5774.3366971296	5732.063010607708	5841.503963273594	5806.001685358394
607	2034	8	31	290.4515406095999	392.488490822916	442.0503762471692	451.7642598622905	5324.0	5333.5294548904	5297.7031285704	5267.61408752206	516.848561496	506.95362718682713	495.38207330107684	503.75604472365455	5614.4515406096	5726.017945713316	5739.753504817569	5719.3783473843505
608	2034	8	32	92.80158964959992	205.54325793729993	282.63191404132783	334.0069811926147	5247.0	5297.7031285704	5218.3961335804	5254.275907391244	477.56630609600006	474.72188484854723	488.5159184273424	533.2944310265598	5339.8015896496	5503.2463865077	5501.028047621728	5588.282888583859
609	2034	9	33	11.051423489599642	129.14271207776392	224.24289048870378	321.37467158245397	5138.0	5218.3961335804	5163.4367678604	5145.231712700931	581.018817896	563.2459239933072	588.419519820703	620.9297717217928	5149.0514234896	5347.538845658164	5387.679658349104	5466.606384283385
610	2034	9	34	-135.23389351039987	15.601975949564121	172.17016745416026	277.73894424040975	5103.0	5163.4367678604	5079.5943919204	5156.080504549396	577.1207862960001	598.1739737581875	628.125209958012	686.7998981864087	4967.7661064896	5179.038743809964	5251.76455937456	5433.819448789806
611	2034	9	35	-232.50281819039947	-23.629347543563654	137.71765642959838	243.7930818890319	5021.0	5079.5943919204	5075.0624709904005	5141.300671134723	581.573307096	616.4544319167471	678.1908706485535	714.5732786802555	4788.4971818096	5055.965044376837	5212.780127419999	5385.093753023755
612	2034	9	36	-198.51811003040007	-0.30117949082750783	145.09224931571464	315.9350109809732	4966.0	5075.0624709904005	5076.6881810104	5000.55636622974	706.2494866959998	741.3195494454671	761.1405711323482	791.4057731563394	4767.4818899696	5074.761291499573	5221.780430326115	5316.491377210713
613	2034	10	37	-141.4860844704001	33.67184723994808	236.25540509824873	460.13638265778707	5014.0	5076.6881810104	4965.8240327304	5065.835187679115	673.3833450960001	713.3793349083473	756.1743775766608	881.1360272094026	4872.5139155296	5110.360028250348	5202.079437828649	5525.971570336902
614	2034	10	38	-68.61105707039997	155.53571112398822	402.41164568843385	555.0513262566783	5010.0	4965.8240327304	5027.902950320399	4940.241730427451	620.149114696	690.6306720750672	832.7872741441669	916.6858020530757	4941.3889429296	5121.359743854388	5430.314596008833	5495.29305668413
615	2034	10	39	40.49791880960015	311.626040276636	490.1281961631647	665.0616165006485	5065.0	5027.902950320399	4996.6530206104	5038.192996492643	619.3088106960001	782.6458171422672	879.6986206851101	949.6936250920061	5105.4979188096	5339.528990597035	5486.781216773565	5703.254612993292
616	2034	10	40	237.82672800959972	431.8872032829561	623.4119789795243	801.1954073830522	5098.0	4996.6530206104	5078.0641983504	4987.8658294335955	690.348507696	814.8107800776671	901.8286751558243	976.553622318084	5335.8267280096	5428.540223893356	5701.476177329924	5789.061236816648
617	2034	11	41	180.43143816959991	424.967942364892	659.282953894699	855.9796608791039	5105.0	5078.0641983504	5049.4935913104	5175.705964952108	648.682005696	785.0350492412673	890.400022430462	926.7030158042242	5285.4314381696	5503.032140715292	5708.776545205099	6031.685625831212
618	2034	11	42	354.5223818095999	603.6886771364361	816.2227583827258	997.1389888367102	5166.0	5049.4935913104	5225.723848930401	5104.634415107756	668.9723318960001	808.8043708481074	866.5134372724405	855.3538178718929	5520.5223818096	5653.182268446836	6041.946607313127	6101.773403944466
619	2034	11	43	414.5499547295998	666.9581291242679	890.3959991331067	1070.4227800658757	5083.0	5225.723848930401	5123.6928603704	5139.489114342012	800.146392296	860.4266126873872	850.8638309759432	896.9667397926492	5497.549954729599	5892.681978054668	6014.088859503507	6209.911894407887
620	2034	11	44	433.1939206095998	705.9137975309161	938.494795224786	1119.289572087972	5089.0	5123.6928603704	5061.7205890704	5039.780428199083	719.6511148960001	751.8943364487073	823.9612297246813	826.5879808658624	5522.193920609599	5829.606657901316	6000.215384295186	6159.070000287054
621	2034	12	45	584.3241628096002	842.5386022390362	1050.66882133972	1219.4191614225479	5047.0	5061.7205890704	4996.1575292204	5118.487988163643	772.165838496	838.2127176782271	837.1006863439104	827.4323233461159	5631.3241628096	5904.259191309437	6046.82635056012	6337.907149586192
